id,name,series_id,actor_id
a55499e4-7166-4d5b-bc53-68ad31c4f507,Stargate SG-1 Season 6,b7587dfe-8d58-498c-b427-3f84ef9c5889,d236f820-2d9c-4c6e-9e2c-7a3ce6a06f65
02897322-2098-4572-b2b0-6d5fe87c8e2b,Stargate SG-1 Season 6,b7587dfe-8d58-498c-b427-3f84ef9c5889,bc08b7ab-a56e-44ad-93d4-5761d53c81b5
24bbe974-a32f-4e31-acf0-8936697795db,Stargate SG-1 Season 1-5,b7587dfe-8d58-498c-b427-3f84ef9c5889,ffe28bca-693b-44ea-8ff8-3d751bf3eb25
52753465-5d98-4ccf-818c-907d9018fc72,Stargate SG-1 Season 1-5,b7587dfe-8d58-498c-b427-3f84ef9c5889,b533e8a3-e291-4671-833a-a18d25749df1
24a69e2b-5983-4b3d-bd63-a67da3d62d6f,Stargate SG-1 Season 6,b7587dfe-8d58-498c-b427-3f84ef9c5889,ffe28bca-693b-44ea-8ff8-3d751bf3eb25
150fb7ba-241a-44ae-8f80-aee4cbfa51f6,Stargate SG-1 Season 1-5,b7587dfe-8d58-498c-b427-3f84ef9c5889,d236f820-2d9c-4c6e-9e2c-7a3ce6a06f65
8e53dc25-61b8-4d25-a37a-b2d57e785f45,Stargate SG-1 Season 1-5,b7587dfe-8d58-498c-b427-3f84ef9c5889,b8dc3628-7846-43ac-8c45-2beddbba314e
ed8901fc-37c6-4be2-9223-c4f66051c67b,Stargate SG-1 Season 1-5,b7587dfe-8d58-498c-b427-3f84ef9c5889,bc08b7ab-a56e-44ad-93d4-5761d53c81b5
518896a9-5c8e-40c2-a987-dc85f8c4360e,Stargate SG-1 Season 6,b7587dfe-8d58-498c-b427-3f84ef9c5889,b8dc3628-7846-43ac-8c45-2beddbba314e
aa680498-a0f2-43b4-9167-ecfb5ac44cc3,Stargate SG-1 Season 6,b7587dfe-8d58-498c-b427-3f84ef9c5889,c044bf97-967d-454b-ba49-af2647b628d4
